set_1_name,set_2_name,set_1_id,set_2_id,mt_id,parameter,mt_fact
nd_id,na,2,-1,0,price_co2,0.908952794
nd_id,na,2,-1,1,price_co2,0.945415084
nd_id,na,2,-1,2,price_co2,0.885512751
nd_id,na,2,-1,3,price_co2,0.92457949
nd_id,na,2,-1,4,price_co2,0.970157352
nd_id,na,2,-1,5,price_co2,0.972761801
nd_id,na,2,-1,6,price_co2,1.006619642
nd_id,na,2,-1,7,price_co2,1.053499729
nd_id,na,2,-1,8,price_co2,1.054801953
nd_id,na,2,-1,9,price_co2,1.091264243
nd_id,na,2,-1,10,price_co2,1.106890939
nd_id,na,2,-1,11,price_co2,1.079544221
nd_id,na,0,-1,0,price_co2,0.908952794
nd_id,na,0,-1,1,price_co2,0.945415084
nd_id,na,0,-1,2,price_co2,0.885512751
nd_id,na,0,-1,3,price_co2,0.92457949
nd_id,na,0,-1,4,price_co2,0.970157352
nd_id,na,0,-1,5,price_co2,0.972761801
nd_id,na,0,-1,6,price_co2,1.006619642
nd_id,na,0,-1,7,price_co2,1.053499729
nd_id,na,0,-1,8,price_co2,1.054801953
nd_id,na,0,-1,9,price_co2,1.091264243
nd_id,na,0,-1,10,price_co2,1.106890939
nd_id,na,0,-1,11,price_co2,1.079544221
nd_id,na,4,-1,0,price_co2,0.908952794
nd_id,na,4,-1,1,price_co2,0.945415084
nd_id,na,4,-1,2,price_co2,0.885512751
nd_id,na,4,-1,3,price_co2,0.92457949
nd_id,na,4,-1,4,price_co2,0.970157352
nd_id,na,4,-1,5,price_co2,0.972761801
nd_id,na,4,-1,6,price_co2,1.006619642
nd_id,na,4,-1,7,price_co2,1.053499729
nd_id,na,4,-1,8,price_co2,1.054801953
nd_id,na,4,-1,9,price_co2,1.091264243
nd_id,na,4,-1,10,price_co2,1.106890939
nd_id,na,4,-1,11,price_co2,1.079544221
nd_id,na,3,-1,0,price_co2,0.908952794
nd_id,na,3,-1,1,price_co2,0.945415084
nd_id,na,3,-1,2,price_co2,0.885512751
nd_id,na,3,-1,3,price_co2,0.92457949
nd_id,na,3,-1,4,price_co2,0.970157352
nd_id,na,3,-1,5,price_co2,0.972761801
nd_id,na,3,-1,6,price_co2,1.006619642
nd_id,na,3,-1,7,price_co2,1.053499729
nd_id,na,3,-1,8,price_co2,1.054801953
nd_id,na,3,-1,9,price_co2,1.091264243
nd_id,na,3,-1,10,price_co2,1.106890939
nd_id,na,3,-1,11,price_co2,1.079544221
nd_id,na,1,-1,0,price_co2,1.0
nd_id,na,1,-1,1,price_co2,1.0
nd_id,na,1,-1,2,price_co2,1.0
nd_id,na,1,-1,3,price_co2,1.0
nd_id,na,1,-1,4,price_co2,1.0
nd_id,na,1,-1,5,price_co2,1.0
nd_id,na,1,-1,6,price_co2,1.0
nd_id,na,1,-1,7,price_co2,1.0
nd_id,na,1,-1,8,price_co2,1.0
nd_id,na,1,-1,9,price_co2,1.0
nd_id,na,1,-1,10,price_co2,1.0
nd_id,na,1,-1,11,price_co2,1.0
fl_id,nd_id,2,0,0,vc_fl,1.103290676
fl_id,nd_id,2,0,1,vc_fl,1.015539305
fl_id,nd_id,2,0,2,vc_fl,1.027422303
fl_id,nd_id,2,0,3,vc_fl,1.034734918
fl_id,nd_id,2,0,4,vc_fl,1.024680073
fl_id,nd_id,2,0,5,vc_fl,1.008226691
fl_id,nd_id,2,0,6,vc_fl,0.987202925
fl_id,nd_id,2,0,7,vc_fl,0.984460695
fl_id,nd_id,2,0,8,vc_fl,0.986288848
fl_id,nd_id,2,0,9,vc_fl,0.959780622
fl_id,nd_id,2,0,10,vc_fl,0.932358318
fl_id,nd_id,2,0,11,vc_fl,0.938756856
fl_id,nd_id,0,0,0,vc_fl,0.998842593
fl_id,nd_id,0,0,1,vc_fl,1.032407407
fl_id,nd_id,0,0,2,vc_fl,1.070601852
fl_id,nd_id,0,0,3,vc_fl,1.076388889
fl_id,nd_id,0,0,4,vc_fl,1.041666667
fl_id,nd_id,0,0,5,vc_fl,1.009259259
fl_id,nd_id,0,0,6,vc_fl,1.018518519
fl_id,nd_id,0,0,7,vc_fl,0.965277778
fl_id,nd_id,0,0,8,vc_fl,0.949074074
fl_id,nd_id,0,0,9,vc_fl,0.944444444
fl_id,nd_id,0,0,10,vc_fl,0.962962963
fl_id,nd_id,0,0,11,vc_fl,0.929398148
fl_id,nd_id,13,0,0,vc_fl,0.894243641
fl_id,nd_id,13,0,1,vc_fl,1.123159304
fl_id,nd_id,13,0,2,vc_fl,1.124497992
fl_id,nd_id,13,0,3,vc_fl,1.207496653
fl_id,nd_id,13,0,4,vc_fl,1.250334672
fl_id,nd_id,13,0,5,vc_fl,1.203480589
fl_id,nd_id,13,0,6,vc_fl,1.085676037
fl_id,nd_id,13,0,7,vc_fl,0.922356091
fl_id,nd_id,13,0,8,vc_fl,0.878179384
fl_id,nd_id,13,0,9,vc_fl,0.863453815
fl_id,nd_id,13,0,10,vc_fl,0.81793842
fl_id,nd_id,13,0,11,vc_fl,0.633199465
fl_id,nd_id,2,1,0,vc_fl,1.103290676
fl_id,nd_id,2,1,1,vc_fl,1.015539305
fl_id,nd_id,2,1,2,vc_fl,1.027422303
fl_id,nd_id,2,1,3,vc_fl,1.034734918
fl_id,nd_id,2,1,4,vc_fl,1.024680073
fl_id,nd_id,2,1,5,vc_fl,1.008226691
fl_id,nd_id,2,1,6,vc_fl,0.987202925
fl_id,nd_id,2,1,7,vc_fl,0.984460695
fl_id,nd_id,2,1,8,vc_fl,0.986288848
fl_id,nd_id,2,1,9,vc_fl,0.959780622
fl_id,nd_id,2,1,10,vc_fl,0.932358318
fl_id,nd_id,2,1,11,vc_fl,0.938756856
fl_id,nd_id,0,1,0,vc_fl,0.998842593
fl_id,nd_id,0,1,1,vc_fl,1.032407407
fl_id,nd_id,0,1,2,vc_fl,1.070601852
fl_id,nd_id,0,1,3,vc_fl,1.076388889
fl_id,nd_id,0,1,4,vc_fl,1.041666667
fl_id,nd_id,0,1,5,vc_fl,1.009259259
fl_id,nd_id,0,1,6,vc_fl,1.018518519
fl_id,nd_id,0,1,7,vc_fl,0.965277778
fl_id,nd_id,0,1,8,vc_fl,0.949074074
fl_id,nd_id,0,1,9,vc_fl,0.944444444
fl_id,nd_id,0,1,10,vc_fl,0.962962963
fl_id,nd_id,0,1,11,vc_fl,0.929398148
fl_id,nd_id,13,1,0,vc_fl,0.894243641
fl_id,nd_id,13,1,1,vc_fl,1.123159304
fl_id,nd_id,13,1,2,vc_fl,1.124497992
fl_id,nd_id,13,1,3,vc_fl,1.207496653
fl_id,nd_id,13,1,4,vc_fl,1.250334672
fl_id,nd_id,13,1,5,vc_fl,1.203480589
fl_id,nd_id,13,1,6,vc_fl,1.085676037
fl_id,nd_id,13,1,7,vc_fl,0.922356091
fl_id,nd_id,13,1,8,vc_fl,0.878179384
fl_id,nd_id,13,1,9,vc_fl,0.863453815
fl_id,nd_id,13,1,10,vc_fl,0.81793842
fl_id,nd_id,13,1,11,vc_fl,0.633199465
fl_id,nd_id,2,2,0,vc_fl,1.103290676
fl_id,nd_id,2,2,1,vc_fl,1.015539305
fl_id,nd_id,2,2,2,vc_fl,1.027422303
fl_id,nd_id,2,2,3,vc_fl,1.034734918
fl_id,nd_id,2,2,4,vc_fl,1.024680073
fl_id,nd_id,2,2,5,vc_fl,1.008226691
fl_id,nd_id,2,2,6,vc_fl,0.987202925
fl_id,nd_id,2,2,7,vc_fl,0.984460695
fl_id,nd_id,2,2,8,vc_fl,0.986288848
fl_id,nd_id,2,2,9,vc_fl,0.959780622
fl_id,nd_id,2,2,10,vc_fl,0.932358318
fl_id,nd_id,2,2,11,vc_fl,0.938756856
fl_id,nd_id,0,2,0,vc_fl,0.998842593
fl_id,nd_id,0,2,1,vc_fl,1.032407407
fl_id,nd_id,0,2,2,vc_fl,1.070601852
fl_id,nd_id,0,2,3,vc_fl,1.076388889
fl_id,nd_id,0,2,4,vc_fl,1.041666667
fl_id,nd_id,0,2,5,vc_fl,1.009259259
fl_id,nd_id,0,2,6,vc_fl,1.018518519
fl_id,nd_id,0,2,7,vc_fl,0.965277778
fl_id,nd_id,0,2,8,vc_fl,0.949074074
fl_id,nd_id,0,2,9,vc_fl,0.944444444
fl_id,nd_id,0,2,10,vc_fl,0.962962963
fl_id,nd_id,0,2,11,vc_fl,0.929398148
fl_id,nd_id,13,2,0,vc_fl,0.894243641
fl_id,nd_id,13,2,1,vc_fl,1.123159304
fl_id,nd_id,13,2,2,vc_fl,1.124497992
fl_id,nd_id,13,2,3,vc_fl,1.207496653
fl_id,nd_id,13,2,4,vc_fl,1.250334672
fl_id,nd_id,13,2,5,vc_fl,1.203480589
fl_id,nd_id,13,2,6,vc_fl,1.085676037
fl_id,nd_id,13,2,7,vc_fl,0.922356091
fl_id,nd_id,13,2,8,vc_fl,0.878179384
fl_id,nd_id,13,2,9,vc_fl,0.863453815
fl_id,nd_id,13,2,10,vc_fl,0.81793842
fl_id,nd_id,13,2,11,vc_fl,0.633199465
fl_id,nd_id,2,3,0,vc_fl,1.103290676
fl_id,nd_id,2,3,1,vc_fl,1.015539305
fl_id,nd_id,2,3,2,vc_fl,1.027422303
fl_id,nd_id,2,3,3,vc_fl,1.034734918
fl_id,nd_id,2,3,4,vc_fl,1.024680073
fl_id,nd_id,2,3,5,vc_fl,1.008226691
fl_id,nd_id,2,3,6,vc_fl,0.987202925
fl_id,nd_id,2,3,7,vc_fl,0.984460695
fl_id,nd_id,2,3,8,vc_fl,0.986288848
fl_id,nd_id,2,3,9,vc_fl,0.959780622
fl_id,nd_id,2,3,10,vc_fl,0.932358318
fl_id,nd_id,2,3,11,vc_fl,0.938756856
fl_id,nd_id,0,3,0,vc_fl,0.998842593
fl_id,nd_id,0,3,1,vc_fl,1.032407407
fl_id,nd_id,0,3,2,vc_fl,1.070601852
fl_id,nd_id,0,3,3,vc_fl,1.076388889
fl_id,nd_id,0,3,4,vc_fl,1.041666667
fl_id,nd_id,0,3,5,vc_fl,1.009259259
fl_id,nd_id,0,3,6,vc_fl,1.018518519
fl_id,nd_id,0,3,7,vc_fl,0.965277778
fl_id,nd_id,0,3,8,vc_fl,0.949074074
fl_id,nd_id,0,3,9,vc_fl,0.944444444
fl_id,nd_id,0,3,10,vc_fl,0.962962963
fl_id,nd_id,0,3,11,vc_fl,0.929398148
fl_id,nd_id,13,3,0,vc_fl,0.894243641
fl_id,nd_id,13,3,1,vc_fl,1.123159304
fl_id,nd_id,13,3,2,vc_fl,1.124497992
fl_id,nd_id,13,3,3,vc_fl,1.207496653
fl_id,nd_id,13,3,4,vc_fl,1.250334672
fl_id,nd_id,13,3,5,vc_fl,1.203480589
fl_id,nd_id,13,3,6,vc_fl,1.085676037
fl_id,nd_id,13,3,7,vc_fl,0.922356091
fl_id,nd_id,13,3,8,vc_fl,0.878179384
fl_id,nd_id,13,3,9,vc_fl,0.863453815
fl_id,nd_id,13,3,10,vc_fl,0.81793842
fl_id,nd_id,13,3,11,vc_fl,0.633199465
fl_id,nd_id,2,4,0,vc_fl,1.103290676
fl_id,nd_id,2,4,1,vc_fl,1.015539305
fl_id,nd_id,2,4,2,vc_fl,1.027422303
fl_id,nd_id,2,4,3,vc_fl,1.034734918
fl_id,nd_id,2,4,4,vc_fl,1.024680073
fl_id,nd_id,2,4,5,vc_fl,1.008226691
fl_id,nd_id,2,4,6,vc_fl,0.987202925
fl_id,nd_id,2,4,7,vc_fl,0.984460695
fl_id,nd_id,2,4,8,vc_fl,0.986288848
fl_id,nd_id,2,4,9,vc_fl,0.959780622
fl_id,nd_id,2,4,10,vc_fl,0.932358318
fl_id,nd_id,2,4,11,vc_fl,0.938756856
fl_id,nd_id,0,4,0,vc_fl,0.998842593
fl_id,nd_id,0,4,1,vc_fl,1.032407407
fl_id,nd_id,0,4,2,vc_fl,1.070601852
fl_id,nd_id,0,4,3,vc_fl,1.076388889
fl_id,nd_id,0,4,4,vc_fl,1.041666667
fl_id,nd_id,0,4,5,vc_fl,1.009259259
fl_id,nd_id,0,4,6,vc_fl,1.018518519
fl_id,nd_id,0,4,7,vc_fl,0.965277778
fl_id,nd_id,0,4,8,vc_fl,0.949074074
fl_id,nd_id,0,4,9,vc_fl,0.944444444
fl_id,nd_id,0,4,10,vc_fl,0.962962963
fl_id,nd_id,0,4,11,vc_fl,0.929398148
fl_id,nd_id,13,4,0,vc_fl,0.894243641
fl_id,nd_id,13,4,1,vc_fl,1.123159304
fl_id,nd_id,13,4,2,vc_fl,1.124497992
fl_id,nd_id,13,4,3,vc_fl,1.207496653
fl_id,nd_id,13,4,4,vc_fl,1.250334672
fl_id,nd_id,13,4,5,vc_fl,1.203480589
fl_id,nd_id,13,4,6,vc_fl,1.085676037
fl_id,nd_id,13,4,7,vc_fl,0.922356091
fl_id,nd_id,13,4,8,vc_fl,0.878179384
fl_id,nd_id,13,4,9,vc_fl,0.863453815
fl_id,nd_id,13,4,10,vc_fl,0.81793842
fl_id,nd_id,13,4,11,vc_fl,0.633199465
pp_id,ca_id,33,0,0,cap_avlb,0.979936703
pp_id,ca_id,33,0,1,cap_avlb,0.997867644
pp_id,ca_id,33,0,2,cap_avlb,0.92710884
pp_id,ca_id,33,0,3,cap_avlb,0.837583758
pp_id,ca_id,33,0,4,cap_avlb,0.875894041
pp_id,ca_id,33,0,5,cap_avlb,0.622562256
pp_id,ca_id,33,0,6,cap_avlb,0.765802387
pp_id,ca_id,33,0,7,cap_avlb,0.416170649
pp_id,ca_id,33,0,8,cap_avlb,0.525469214
pp_id,ca_id,33,0,9,cap_avlb,0.596027345
pp_id,ca_id,33,0,10,cap_avlb,0.750075008
pp_id,ca_id,33,0,11,cap_avlb,0.800483274
pp_id,ca_id,19,0,0,cap_avlb,0.818706537
pp_id,ca_id,19,0,1,cap_avlb,0.873220568
pp_id,ca_id,19,0,2,cap_avlb,0.829589048
pp_id,ca_id,19,0,3,cap_avlb,0.7393488
pp_id,ca_id,19,0,4,cap_avlb,0.636701579
pp_id,ca_id,19,0,5,cap_avlb,0.712933297
pp_id,ca_id,19,0,6,cap_avlb,0.754199883
pp_id,ca_id,19,0,7,cap_avlb,0.793291349
pp_id,ca_id,19,0,8,cap_avlb,0.863016874
pp_id,ca_id,19,0,9,cap_avlb,0.824594597
pp_id,ca_id,19,0,10,cap_avlb,0.783309212
pp_id,ca_id,19,0,11,cap_avlb,0.737177367
pp_id,ca_id,32,0,0,cap_avlb,1.0
pp_id,ca_id,32,0,1,cap_avlb,1.0
pp_id,ca_id,32,0,2,cap_avlb,0.959547276
pp_id,ca_id,32,0,3,cap_avlb,0.932757444
pp_id,ca_id,32,0,4,cap_avlb,0.92415974
pp_id,ca_id,32,0,5,cap_avlb,0.863084695
pp_id,ca_id,32,0,6,cap_avlb,0.636717724
pp_id,ca_id,32,0,7,cap_avlb,0.883633574
pp_id,ca_id,32,0,8,cap_avlb,0.940840545
pp_id,ca_id,32,0,9,cap_avlb,0.772252574
pp_id,ca_id,32,0,10,cap_avlb,0.957421238
pp_id,ca_id,32,0,11,cap_avlb,0.95917758
pp_id,ca_id,34,0,0,cap_avlb,0.931858075
pp_id,ca_id,34,0,1,cap_avlb,0.883302678
pp_id,ca_id,34,0,2,cap_avlb,0.785571695
pp_id,ca_id,34,0,3,cap_avlb,0.685472515
pp_id,ca_id,34,0,4,cap_avlb,0.645075659
pp_id,ca_id,34,0,5,cap_avlb,0.675126679
pp_id,ca_id,34,0,6,cap_avlb,0.707772843
pp_id,ca_id,34,0,7,cap_avlb,0.680578223
pp_id,ca_id,34,0,8,cap_avlb,0.673524451
pp_id,ca_id,34,0,9,cap_avlb,0.733692328
pp_id,ca_id,34,0,10,cap_avlb,0.784124701
pp_id,ca_id,34,0,11,cap_avlb,0.856963209
